time,Donor,PlasmidFreeDonor,Recipient,Transconjugant
383.0,111264.0,0.0,111225.0,0.0
384.0,111293.0,0.0,111242.0,0.0
385.0,111328.0,0.0,111272.0,0.0
386.0,111357.0,0.0,111306.0,0.0
387.0,111391.0,0.0,111343.0,0.0
388.0,111433.0,0.0,111366.0,0.0
389.0,111478.0,0.0,111400.0,0.0
390.0,111516.0,0.0,111426.0,0.0
391.0,111547.0,0.0,111458.0,0.0
392.0,111580.0,0.0,111487.0,0.0
393.0,111611.0,0.0,111517.0,0.0
394.0,111639.0,0.0,111549.0,0.0
395.0,111676.0,0.0,111572.0,0.0
396.0,111708.0,0.0,111608.0,0.0
397.0,111736.0,0.0,111639.0,0.0
398.0,111759.0,0.0,111673.0,0.0
399.0,111783.0,0.0,111697.0,0.0
400.0,111814.0,0.0,111723.0,0.0
401.0,111849.0,0.0,111763.0,0.0
402.0,111889.0,0.0,111799.0,0.0
403.0,111917.0,0.0,111829.0,0.0
404.0,111950.0,0.0,111853.0,0.0
405.0,111982.0,0.0,111884.0,0.0
406.0,112013.0,0.0,111915.0,0.0
407.0,112051.0,0.0,111945.0,0.0
408.0,112073.0,0.0,111982.0,0.0
409.0,112107.0,0.0,112015.0,0.0
410.0,112139.0,0.0,112049.0,0.0
411.0,112166.0,0.0,112075.0,0.0
412.0,112198.0,0.0,112107.0,0.0
413.0,112218.0,0.0,112139.0,0.0
414.0,112240.0,0.0,112165.0,0.0
415.0,112271.0,0.0,112203.0,0.0
416.0,112305.0,0.0,112235.0,0.0
417.0,112324.0,0.0,112257.0,0.0
418.0,112360.0,0.0,112293.0,0.0
419.0,112388.0,0.0,112320.0,0.0
420.0,112421.0,0.0,112354.0,0.0
421.0,112462.0,0.0,112381.0,0.0
422.0,112490.0,0.0,112411.0,0.0
423.0,112519.0,0.0,112438.0,0.0
424.0,112552.0,0.0,112470.0,0.0
425.0,112575.0,0.0,112494.0,0.0
426.0,112598.0,0.0,112523.0,0.0
427.0,112626.0,0.0,112550.0,0.0
428.0,112662.0,0.0,112582.0,0.0
429.0,112699.0,0.0,112616.0,0.0
430.0,112731.0,0.0,112647.0,0.0
431.0,112753.0,0.0,112678.0,0.0
432.0,112790.0,0.0,112717.0,0.0
433.0,112818.0,0.0,112757.0,0.0
434.0,112846.0,0.0,112798.0,0.0
435.0,112865.0,0.0,112833.0,0.0
436.0,112892.0,0.0,112869.0,0.0
437.0,112916.0,0.0,112899.0,0.0
438.0,112952.0,0.0,112923.0,0.0
439.0,112992.0,0.0,112951.0,0.0
440.0,113025.0,0.0,112986.0,0.0
441.0,113050.0,0.0,113025.0,0.0
442.0,113082.0,0.0,113049.0,0.0
443.0,113119.0,0.0,113080.0,0.0
444.0,113164.0,0.0,113114.0,0.0
445.0,113201.0,0.0,113148.0,0.0
446.0,113231.0,0.0,113186.0,0.0
447.0,113264.0,0.0,113219.0,0.0
448.0,113295.0,0.0,113240.0,0.0
449.0,113318.0,0.0,113273.0,0.0
450.0,113342.0,0.0,113301.0,0.0
451.0,113381.0,0.0,113337.0,0.0
452.0,113416.0,0.0,113363.0,0.0
453.0,113453.0,0.0,113392.0,0.0
454.0,113476.0,0.0,113433.0,0.0
455.0,113510.0,0.0,113462.0,0.0
456.0,113545.0,0.0,113501.0,0.0
457.0,113570.0,0.0,113529.0,0.0
