,Experiments,LDM,SIM
508,E4_I2_P7,,2.3683093848617647e-14
509,E4_I2_P8,,0.0
510,E4_I2_P9,,0.0
511,E4_I2_P10,,0.0
512,E4_I2_P11,,0.0
513,E4_I2_P12,,0.0
514,E4_I2_P13,,0.0
515,E4_I2_P14,,0.0
516,E4_I2_P15,,0.0
517,E4_I2_P16,,0.0
518,E4_I2_P17,,1.6804024777743277e-13
519,E4_I2_P18,,0.0
520,E4_I2_P19,,5.97559041609792e-14
521,E4_I2_P20,,1.6870485371084442e-14
522,E4_I2_P21,,0.0
523,E4_I2_P22,,0.0
524,E4_I2_P23,,2.2237935132950418e-13
525,E4_I2_P24,,0.0
526,E4_I2_P25,,0.0
527,E4_I2_P26,,1.7772901018736053e-14
528,E4_I2_P27,,0.0
529,E4_I2_P28,,2.280795375716287e-13
530,E4_I2_P29,,1.9710853893563538e-14
531,E4_I2_P30,,0.0
532,E4_I2_P31,,0.0
533,E4_I2_P32,,0.0
534,E4_I2_P33,,0.0
535,E4_I2_P34,,0.0
536,E4_I2_P35,,1.965489197560867e-14
537,E4_I2_P36,,0.0
538,E4_I2_P37,,1.8023250118662783e-13
539,E4_I2_P38,,7.632681482751185e-14
540,E4_I2_P39,,1.6071280620691406e-14
541,E4_I2_P40,,0.0
542,E4_I2_P41,,1.9693157492219372e-14
543,E4_I2_P42,,0.0
544,E4_I2_P43,,0.0
545,E4_I2_P44,,0.0
546,E4_I2_P45,,2.2883508861843583e-14
547,E4_I2_P46,,5.447895128800243e-14
548,E4_I2_P47,,0.0
549,E4_I2_P48,,2.3558990886227244e-14
550,E4_I2_P49,,0.0
551,E4_I2_P50,,0.0
552,E4_I2_P51,,1.5270099831341506e-14
553,E4_I2_P52,,0.0
554,E4_I2_P53,,0.0
555,E4_I2_P54,,0.0
556,E4_I2_P55,,0.0
557,E4_I2_P56,,0.0
558,E4_I2_P57,,0.0
559,E4_I2_P58,,0.0
560,E4_I2_P59,,2.1341346548201458e-13
561,E4_I2_P60,,0.0
562,E4_I2_P61,,0.0
563,E4_I2_P62,,0.0
564,E4_I2_P63,,0.0
565,E4_I2_P64,,1.9337883016951967e-14
566,E4_I2_P65,,2.282402943330893e-14
567,E4_I2_P66,,0.0
568,E4_I2_P67,,0.0
569,E4_I2_P68,,0.0
570,E4_I2_P69,,1.9321668684739818e-13
571,E4_I2_P70,,0.0
572,E4_I2_P71,,0.0
573,E4_I2_P72,,2.3854752266851143e-14
574,E4_I2_P73,,3.609041617243202e-14
575,E4_I2_P74,,3.3640741002917253e-14
576,E4_I2_P75,,0.0
577,E4_I2_P76,,0.0
578,E4_I2_P77,,4.0404252624183624e-14
579,E4_I2_P78,,0.0
580,E4_I2_P79,,2.136662894384576e-14
581,E4_I2_P80,,1.7367882061095522e-14
582,E4_I2_P81,,0.0
583,E4_I2_P82,,0.0
584,E4_I2_P83,,0.0
585,E4_I2_P84,,2.6205591670492302e-14
586,E4_I2_P85,,2.176259802021906e-14
587,E4_I2_P86,,1.7662000745042143e-14
588,E4_I2_P87,,0.0
589,E4_I2_P88,,0.0
590,E4_I2_P89,,0.0
591,E4_I2_P90,,4.0959746660309026e-14
592,E4_I2_P91,,3.267410655398998e-14
593,E4_I2_P92,,0.0
594,E4_I2_P93,,0.0
595,E4_I2_P94,,0.0
596,E4_I2_P95,,1.3689740714011835e-14
597,E4_I2_P96,,2.2079085368276896e-14
598,E4_I2_P97,,2.238379379099765e-14
599,E4_I2_P98,,0.0
600,E4_I2_P99,,1.8962981397323258e-14
601,E5_I2_P0,,3.0500402310784343e-14
602,E5_I2_P1,,8.008133676555684e-14
603,E5_I2_P2,,0.0
604,E5_I2_P3,,0.0
605,E5_I2_P4,,0.0
606,E5_I2_P5,,1.839814545348833e-14
607,E5_I2_P6,,0.0
608,E5_I2_P7,,0.0
609,E5_I2_P8,,0.0
610,E5_I2_P9,,5.1434518140545626e-14
611,E5_I2_P10,,1.1265667446672974e-14
612,E5_I2_P11,,3.1825429154045045e-14
613,E5_I2_P12,,2.0750435377258554e-14
614,E5_I2_P13,,0.0
615,E5_I2_P14,,0.0
616,E5_I2_P15,,2.1288342644445965e-14
617,E5_I2_P16,,0.0
618,E5_I2_P17,,1.3555293250824646e-14
619,E5_I2_P18,,2.1459743308445216e-14
620,E5_I2_P19,,0.0
621,E5_I2_P20,,2.5067507234804368e-14
622,E5_I2_P21,,0.0
623,E5_I2_P22,,0.0
624,E5_I2_P23,,0.0
625,E5_I2_P24,,1.5628063565099043e-14
626,E5_I2_P25,,0.0
627,E5_I2_P26,,0.0
628,E5_I2_P27,,0.0
629,E5_I2_P28,,1.2830884512829298e-14
630,E5_I2_P29,,0.0
631,E5_I2_P30,,2.3285625040003575e-12
632,E5_I2_P31,,0.0
633,E5_I2_P32,,0.0
634,E5_I2_P33,,0.0
635,E5_I2_P34,,0.0
636,E5_I2_P35,,0.0
637,E5_I2_P36,,1.7533138812683976e-14
638,E5_I2_P37,,1.6351933070660348e-14
639,E5_I2_P38,,1.71393442128486e-14
640,E5_I2_P39,,1.5261500511666297e-14
641,E5_I2_P40,,0.0
642,E5_I2_P41,,0.0
643,E5_I2_P42,,0.0
644,E5_I2_P43,,0.0
645,E5_I2_P44,,0.0
646,E5_I2_P45,,0.0
647,E5_I2_P46,,0.0
648,E5_I2_P47,,1.562457365361618e-14
649,E5_I2_P48,,0.0
650,E5_I2_P49,,1.610888424847589e-14
651,E5_I2_P50,,0.0
652,E5_I2_P51,,2.0768009703264948e-14
653,E5_I2_P52,,0.0
654,E5_I2_P53,,4.859177119609287e-14
655,E5_I2_P54,,0.0
656,E5_I2_P55,,0.0
657,E5_I2_P56,,0.0
658,E5_I2_P57,,1.0485989517329691e-13
659,E5_I2_P58,,2.8650924628419775e-14
660,E5_I2_P59,,0.0
661,E5_I2_P60,,1.9523599601392277e-13
662,E5_I2_P61,,0.0
663,E5_I2_P62,,0.0
664,E5_I2_P63,,3.6939936946513416e-14
665,E5_I2_P64,,0.0
666,E5_I2_P65,,0.0
667,E5_I2_P66,,2.1139148512840362e-14
668,E5_I2_P67,,2.7339914318346074e-14
669,E5_I2_P68,,1.5565279786846045e-14
670,E5_I2_P69,,2.0556195504850362e-14
671,E5_I2_P70,,8.115027440786161e-14
672,E5_I2_P71,,2.8562638693304434e-14
673,E5_I2_P72,,1.4539084296052478e-14
674,E5_I2_P73,,2.606735791456994e-14
675,E5_I2_P74,,0.0
676,E5_I2_P75,,0.0
677,E5_I2_P76,,0.0
678,E5_I2_P77,,0.0
679,E5_I2_P78,,1.8397923512132827e-14
680,E5_I2_P79,,2.5631111681980475e-14
681,E5_I2_P80,,0.0
682,E5_I2_P81,,0.0
683,E5_I2_P82,,0.0
684,E5_I2_P83,,0.0
685,E5_I2_P84,,0.0
686,E5_I2_P85,,0.0
687,E5_I2_P86,,0.0
688,E5_I2_P87,,2.470452459920466e-14
689,E5_I2_P88,,0.0
690,E5_I2_P89,,0.0
691,E5_I2_P90,,0.0
692,E5_I2_P91,,0.0
693,E5_I2_P92,,0.0
694,E5_I2_P93,,0.0
695,E5_I2_P94,,1.800588006114522e-14
696,E5_I2_P95,,1.7522796022002327e-14
697,E5_I2_P96,,5.788837243841236e-14
698,E5_I2_P97,,2.093976718458091e-14
699,E5_I2_P98,,1.9523700014781355e-14
