time,Donor,PlasmidFreeDonor,Recipient,Transconjugant,Total,SIM
8397.0,1030366.8583491232,0.0,1030366.8487181936,0.009630930212476727,2060733.716698247,1.0046669651112343e-14
8398.0,1030653.1111211891,0.0,1030653.101484606,0.009636583697207072,2061306.2222423789,1.0046684123029932e-14
8399.0,1030939.4434189692,0.0,1030939.4337767294,0.009642240415945408,2061878.886837939,1.0046698443356232e-14
8400.0,1031225.8552645571,0.0,1031225.8456166573,0.009647900370521744,2062451.7105291148,1.0046712850432391e-14
8401.0,1031512.3466800525,0.0,1031512.3370264895,0.009653563562767128,2063024.6933601056,1.0046727343936343e-14
8402.0,1031798.9176875611,0.0,1031798.9080283318,0.009659229994513631,2063597.835375123,1.0046741685249614e-14
8403.0,1032085.5683091952,0.0,1032085.5586442961,0.009664899667594363,2064171.1366183911,1.004675611249397e-14
8404.0,1032372.2985670727,0.0,1032372.2888965008,0.009670572583843465,2064744.5971341461,1.004677062534813e-14
8405.0,1032659.108483318,0.0,1032659.0988070699,0.009676248745096112,2065318.2169666367,1.0046784985414173e-14
8406.0,1032945.9980800615,0.0,1032945.988398134,0.00968192815318851,2065891.9961601237,1.004679943059472e-14
8407.0,1033232.9673794396,0.0,1033232.9576918295,0.009687610809957909,2066465.9347588802,1.0046813841604002e-14
8408.0,1033520.0164035953,0.0,1033520.0067102993,0.009693296717242584,2067040.0328071914,1.0046828337160207e-14
8409.0,1033807.1451746775,0.0,1033807.1354756922,0.009698985876881852,2067614.2903493557,1.0046842798051253e-14
8410.0,1034094.3537148408,0.0,1034094.3440101632,0.009704678290716067,2068188.7074296824,1.00468572240671e-14
8411.0,1034381.6420462469,0.0,1034381.6323358736,0.009710373960586619,2068763.2840924945,1.0046871614997938e-14
8412.0,1034669.0101910628,0.0,1034669.0004749906,0.00971607288833593,2069338.020382126,1.0046886089416629e-14
8413.0,1034956.458171462,0.0,1034956.4484496877,0.009721775075807472,2069912.9163429248,1.00469006470042e-14
8414.0,1035243.9860096246,0.0,1035243.9762821447,0.009727480524845747,2070487.9720192498,1.004691505002308e-14
8415.0,1035531.5937277358,0.0,1035531.5839945471,0.0097331892372963,2071063.187455472,1.0046929535719741e-14
8416.0,1035819.2813479879,0.0,1035819.2716090874,0.009738901215005718,2071638.5626959763,1.0046943985139525e-14
8417.0,1036107.048892579,0.0,1036107.0391479633,0.009744616459821621,2072214.0977851588,1.0046958516673934e-14
8418.0,1036394.8963837136,0.0,1036394.8866333793,0.00975033497359268,2072789.7927674279,1.0046973011441756e-14
8419.0,1036682.8238436019,0.0,1036682.8140875458,0.0097560567581686,2073365.6476872044,1.0046987469234947e-14
8420.0,1036970.8312944607,0.0,1036970.8215326796,0.009761781815400135,2073941.6625889223,1.0047001889845655e-14
8421.0,1037258.9187585128,0.0,1037258.9089910033,0.009767510147139077,2074517.8375170263,1.0047016391520505e-14
8422.0,1037547.0862579872,0.0,1037547.0764847461,0.009773241755238265,2075094.172515975,1.0047030973942836e-14
8423.0,1037835.3338151191,0.0,1037835.324036143,0.009778976641551577,2075670.6676302387,1.0047045400033401e-14
8424.0,1038123.6614521497,0.0,1038123.6516674357,0.009784714807933945,2076247.3229043002,1.0047059906384514e-14
8425.0,1038412.0691913269,0.0,1038412.0594008712,0.00979045625624134,2076824.1383826542,1.0047074492680294e-14
8426.0,1038700.5570549039,0.0,1038700.5472587036,0.009796200988330776,2077401.1141098086,1.0047088922060482e-14
8427.0,1038989.125065141,0.0,1038989.1152631927,0.00980194900606032,2077978.2501302827,1.0047103430899793e-14
8428.0,1039277.7732443041,0.0,1039277.7634366044,0.009807700311289084,2078555.5464886087,1.0047118018883109e-14
